indice_caracteristica_activa,nombre_caracteristica
3,5
6,8
12,14
15,17
19,21
21,23
24,26
26,28
29,31
31,33
40,42
41,43
42,44
43,45
45,47
46,48
48,50
49,51
51,53
52,54
53,55
56,58
58,60
59,61
62,66
63,67
65,69
67,71
68,72
69,73
70,74
71,75
73,77
74,78
75,79
76,80
77,81
79,83
80,84
82,86
90,94
91,95
93,97
95,99
97,101
98,102
103,107
104,108
105,109
106,110
109,113
110,114
111,115
118,122
119,123
121,125
122,126
124,128
125,129
127,131
128,132
131,135
140,144
141,145
142,146
146,150
148,152
149,153
154,158
156,160
162,166
165,169
173,177
175,179
176,180
178,182
180,184
181,185
182,186
183,187
184,188
190,194
191,195
193,197
194,198
196,200
197,201
201,205
203,207
207,211
208,212
209,213
210,214
212,216
215,219
216,220
220,224
221,225
224,228
225,229
226,230
230,234
233,237
235,239
237,241
239,243
242,246
246,250
249,253
251,255
252,256
253,257
257,261
258,262
259,263
260,264
261,265
262,266
264,268
268,272
272,276
273,277
274,278
275,279
278,282
280,284
282,286
283,287
284,288
291,295
292,296
294,298
295,299
296,300
297,301
298,302
299,303
300,304
301,305
302,306
305,309
307,311
309,313
311,315
312,316
314,318
318,322
320,324
322,326
324,328
327,331
328,332
329,333
332,336
335,339
336,340
338,342
339,343
341,345
348,352
354,358
356,360
357,361
359,363
360,364
361,365
362,366
364,368
365,369
366,370
368,372
369,373
370,374
374,378
375,379
377,381
378,382
379,383
380,384
381,385
383,387
386,390
387,391
396,400
400,404
401,405
405,409
409,413
412,416
413,417
414,418
415,419
416,420
421,426
423,428
425,430
426,431
434,439
435,440
436,441
437,442
440,445
441,446
442,448
443,449
444,450
445,451
446,452
448,454
450,456
454,460
460,466
461,467
464,470
465,471
467,473
470,476
476,482
477,483
480,486
481,487
485,491
488,494
489,495
490,496
491,497
493,499
495,501
499,505
502,508
511,517
514,520
520,526
521,527
525,531
526,532
527,533
528,534
530,536
532,538
533,539
534,540
535,541
537,543
540,546
541,547
542,548
543,549
546,552
547,553
548,554
549,555
550,556
552,558
555,561
557,563
560,566
567,573
568,574
571,577
572,578
574,580
575,581
580,586
581,587
585,591
590,596
592,598
597,603
599,605
600,606
605,611
607,613
609,615
612,618
614,620
620,626
622,628
626,632
628,634
630,636
635,641
639,645
641,647
644,650
645,651
646,652
654,660
657,663
658,664
660,666
661,667
662,668
666,672
667,673
669,675
676,682
677,683
681,687
683,689
684,690
686,692
690,696
692,698
694,700
697,703
704,710
706,712
707,713
710,716
712,718
714,720
719,725
720,726
721,727
723,729
725,731
726,732
727,733
728,734
729,735
733,739
737,743
739,745
740,746
750,756
751,757
752,758
754,760
756,762
760,766
762,768
763,769
766,772
767,773
772,778
773,779
774,780
775,781
776,782
780,786
781,787
788,794
792,798
793,799
797,803
798,804
803,809
804,810
807,813
808,814
813,819
814,820
817,823
819,825
822,828
824,830
825,831
833,839
835,841
836,842
837,843
845,851
846,852
847,853
848,854
851,857
853,859
854,860
857,863
858,864
859,865
862,868
874,880
880,886
882,888
883,889
884,890
887,893
889,895
890,896
895,901
897,903
900,906
903,909
906,912
908,914
915,921
920,926
921,927
922,928
926,932
928,934
930,936
933,939
934,940
935,941
937,943
940,946
946,952
947,953
950,956
951,957
954,960
957,963
958,964
962,968
965,971
969,975
972,978
973,979
975,981
977,983
979,985
984,990
986,992
988,994
990,996
991,997
992,998
995,1001
997,1003
999,1005
1002,1008
1007,1013
1009,1015
1010,1016
1011,1017
1013,1019
1014,1020
